artista,tipo,título_canción,nombre_album,año,genre
Taylor Swift,track,ivy,evermore (deluxe version),2021,pop
Troye Sivan,track,Angel Baby,Angel Baby,2021,pop
NF,track,JUST LIKE YOU,CLOUDS (THE MIXTAPE),2021,pop
Coldplay,track,My Universe,My Universe,2021,pop
Taylor Swift,track,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
Jameson Rodgers,track,Cold Beer Calling My Name,Bet You're from a Small Town,2021,pop
Tory Lanez,track,Pink Dolphin Sunset (feat. Tee),Alone At Prom,2021,pop
Morgan Wade,track,Wilder Days,Reckless,2021,pop
NF,track,CLOUDS,CLOUDS (THE MIXTAPE),2021,pop
Stellar,track,Daredevil,Daredevil,2021,pop
WILLOW,track,t r a n s p a r e n t s o u l feat. Travis Barker,t r a n s p a r e n t s o u l feat. Travis Barker,2021,pop
Imagine Dragons,track,Enemy - From the series Arcane League of Legends,Enemy (from the series Arcane League of Legends),2021,pop
Benson Boone,track,Ghost Town,Ghost Town,2021,pop
PinkPantheress,track,Just for Me,to hell with it,2021,pop
Joel Corry,track,OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),2021,pop
PinkPantheress,track,Passion,to hell with it,2021,pop
Billie Eilish,track,GOLDWING,Happier Than Ever,2021,pop
Hotel Ugly,track,The Ballad of Eddie Jabuley,The Ballad of Eddie Jabuley,2021,pop
Taylor Swift,track,Holy Ground (Taylor's Version),Red (Taylor's Version),2021,pop
Drake,track,IMY2 (with Kid Cudi),Certified Lover Boy,2021,pop
Justin Bieber,track,Hold On,Justice,2021,pop
ROSÉ,track,Gone,R,2021,pop
Russ,track,SMALL TALK,SMALL TALK,2021,pop
Tory Lanez,track,Distance,PLAYBOY,2021,pop
Camilo,track,BEBÉ,Mis Manos,2021,pop
DaBaby,track,Ball If I Want To,Ball If I Want To,2021,pop
Bailey Zimmerman,track,Change,Change,2021,pop
mike.,track,life got crazy,the highs.,2021,pop
Sadie Jean,track,WYD Now?,WYD Now?,2021,pop
Jervis Campbell,track,Praise Him Forever,Onward & Upward,2021,pop
Twenty One Pilots,track,Mulberry Street,Scaled And Icy,2021,pop
LISA,track,LALISA,LALISA,2021,pop
WILLOW,track,t r a n s p a r e n t s o u l feat. Travis Barker,lately I feel EVERYTHING,2021,pop
Taylor Swift,track,gold rush,evermore (deluxe version),2021,pop
Taylor Swift,track,"no body, no crime (feat. HAIM)",evermore (deluxe version),2021,pop
Taylor Swift,track,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021,pop
Russ,track,Seduce (Feat. Capella Grey & Tamae),Seduce (Feat. Capella Grey & Tamae),2021,pop
Men I Trust,track,Sugar,Untourable Album,2021,pop
The Neighbourhood,track,Fallen Star,Fallen Star,2021,pop
Taylor Swift,track,cowboy like me,evermore (deluxe version),2021,pop
Internet Money,track,His & Hers (feat. Don Toliver & Lil Uzi Vert),His & Hers (feat. Don Toliver & Lil Uzi Vert),2021,pop
Ian Munsick,track,Long Haul,Coyote Cry,2021,pop
Taylor Swift,track,I Almost Do (Taylor's Version),Red (Taylor's Version),2021,pop
Rauw Alejandro,track,Sexo Virtual,VICE VERSA,2021,pop
Justin Bieber,track,Anyone,Justice,2021,pop
Parker McCollum,track,To Be Loved By You,Gold Chain Cowboy,2021,pop
Taylor Swift,track,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021,pop
Jelly Roll,track,Dead Man Walking,Ballads of the Broken,2021,pop
PinkPantheress,track,Pain,Pain,2021,pop
Drake,track,In The Bible (with Lil Durk & Giveon),Certified Lover Boy,2021,pop
Stray Kids,track,Thunderous,NOEASY,2021,pop
Ryan Hurd,track,Chasing After You,Pelago,2021,pop
Nessa Barrett,track,la di die (feat. Jaden Hossler),la di die (feat. Jaden Hossler),2021,pop
